5 - Matrículas;;;;;;;;;;;;;;;;;
5.1 - Matrículas em Cursos de Graduação Presenciais, por Organização Acadêmica e Localização (Capital e Interior),;;;;;;;;;;;;;;;;;
segundo a Unidade da Federação e a Categoria Administrativa das IES - 2009;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Unidade da Federação/ Categoria Administrativa;;;Matrículas em Cursos de Graduação Presenciais;;;;;;;;;;;;;;
;;; Total Geral ;;; Universidades ;;; Centros Universitários ;;; Faculdades ;;; IF e CEFET  ;;
;;;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior 
;;;;;;;;;;;;;;;;;
Bahia;;;230.936;126.486;104.450;98.991;52.628;46.363;23.938;23.938;. ;106.572;48.879;57.693;1.435;1.041;394
;Pública;;75.458;29.069;46.389;74.023;28.028;45.995;. ;. ;. ;. ;. ;. ;1.435;1.041;394
;;Federal;30.913;24.638;6.275;29.478;23.597;5.881;. ;. ;. ;. ;. ;. ;1.435;1.041;394
;;Estadual;44.545;4.431;40.114;44.545;4.431;40.114;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;155.478;97.417;58.061;24.968;24.600;368;23.938;23.938;. ;106.572;48.879;57.693;. ;. ;. 
;;Particular;135.443;79.255;56.188;10.888;10.520;368;23.938;23.938;. ;100.617;44.797;55.820;. ;. ;. 
;;Comun/Confes;20.035;18.162;1.873;14.080;14.080;. ;. ;. ;. ;5.955;4.082;1.873;. ;. ;. 
;;;;;;;;;;;;;;;;;
Sudeste;;;2.516.712;1.082.127;1.434.585;1.364.618;678.412;686.206;448.335;200.550;247.785;681.171;190.759;490.412;22.588;12.406;10.182
;Pública;;441.800;170.238;271.562;359.798;147.293;212.505;3.865;869;2.996;55.549;9.670;45.879;22.588;12.406;10.182
;;Federal;226.772;96.746;130.026;202.763;83.511;119.252;. ;. ;. ;1.421;829;592;22.588;12.406;10.182
;;Estadual;173.282;73.492;99.790;142.385;63.782;78.603;869;869;. ;30.028;8.841;21.187;. ;. ;. 
;;Municipal;41.746;. ;41.746;14.650;. ;14.650;2.996;. ;2.996;24.100;. ;24.100;. ;. ;. 
;Privada;;2.074.912;911.889;1.163.023;1.004.820;531.119;473.701;444.470;199.681;244.789;625.622;181.089;444.533;. ;. ;. 
;;Particular;1.672.531;761.277;911.254;760.021;412.830;347.191;340.617;181.690;158.927;571.893;166.757;405.136;. ;. ;. 
;;Comun/Confes;402.381;150.612;251.769;244.799;118.289;126.510;103.853;17.991;85.862;53.729;14.332;39.397;. ;. ;. 
;;;;;;;;;;;;;;;;;
Minas Gerais;;;527.243;166.188;361.055;259.036;82.673;176.363;83.799;41.508;42.291;177.866;39.799;138.067;6.542;2.208;4.334
;Pública;;115.565;31.438;84.127;104.339;28.413;75.926;. ;. ;. ;4.684;817;3.867;6.542;2.208;4.334
;;Federal;98.782;27.748;71.034;92.240;25.540;66.700;. ;. ;. ;. ;. ;. ;6.542;2.208;4.334
;;Estadual;14.632;3.690;10.942;12.099;2.873;9.226;. ;. ;. ;2.533;817;1.716;. ;. ;. 
;;Municipal;2.151;. ;2.151;. ;. ;. ;. ;. ;. ;2.151;. ;2.151;. ;. ;. 
;Privada;;411.678;134.750;276.928;154.697;54.260;100.437;83.799;41.508;42.291;173.182;38.982;134.200;. ;. ;. 
;;Particular;279.279;81.600;197.679;75.532;7.323;68.209;56.706;37.424;19.282;147.041;36.853;110.188;. ;. ;. 
;;Comun/Confes;132.399;53.150;79.249;79.165;46.937;32.228;27.093;4.084;23.009;26.141;2.129;24.012;. ;. ;. 
Espírito Santo;;;91.389;41.287;50.102;18.153;15.836;2.317;15.382;. ;15.382;56.184;24.703;31.481;1.670;748;922
;Pública;;20.916;16.785;4.131;18.153;15.836;2.317;. ;. ;. ;1.093;201;892;1.670;748;922
;;Federal;19.823;16.584;3.239;18.153;15.836;2.317;. ;. ;. ;. ;. ;. ;1.670;748;922
;;Estadual;201;201;. ;. ;. ;. ;. ;. ;. ;201;201;. ;. ;. ;. 
