IES_ID;IES_NAME
461;FACULDADE DE ADMINISTRAÇÃO DA FUNDAÇÃO ARMANDO ALVARES PENTEADO
462;FACULDADE DE ENGENHARIA DA FUNDAÇÃO ARMANDO ALVARES PENTEADO
463;FACULDADE DE COMUNICAÇÃO E MARKETING DA - FUNDAÇÃO ARMANDO ÁLVARES PENTEADO
464;FACULDADE DE ECONOMIA DA FUNDAÇÃO ARMANDO ALVARES PENTEADO
465;FACULDADE DE COMPUTAÇÃO E INFORMÁTICA DA FUNDAÇÃO ARMANDO ALVARES PENTEADO
466;UNIVERSIDADE ANHEMBI MORUMBI
467;FACULDADE DE CIÊNCIAS CONTÁBEIS DE ITAPETININGA
468;FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE ITAPETININGA
469;ABEU FACULDADES INTEGRADAS
470;FACULDADE DE ODONTOLOGIA DE NOVA FRIBURGO
472;UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY
473;FACULDADE DE CIÊNCIAS ECONÔMICAS, ADMINISTRATIVAS E DA COMPUTAÇÃO DOM BOSCO
474;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DOM BOSCO
475;FACULDADE DE MEDICINA DE PETRÓPOLIS
480;CENTRO UNIVERSITÁRIO SERRA DOS ÓRGÃOS
481;UNIVERSIDADE GUARULHOS
482;UNIVERSIDADE DO EXTREMO SUL CATARINENSE
483;CENTRO UNIVERSITÁRIO METROPOLITANO DE SÃO PAULO
486;FACULDADE DE FORMACAO DE PROFESSORES DE ARAPIRACA
487;FACULDADE DE ADMINISTRACAO, CIENCIAS CONTABEIS, JURIDICAS E SOCIAIS DO ESTADO DE ALAGOAS
488;ESCOLA SUPERIOR DE CIENCIAS HUMANAS FISICAS E BIOLOGICAS DO SERTAO
489;CENTRO UNIVERSITÁRIO DE VOLTA REDONDA
490;CENTRO DE ENSINO SUPERIOR DE VALENÇA
491;FACULDADE DE EDUCAÇÃO CIÊNCIAS E LETRAS DON DOMÊNICO
492;FACULDADE DE ADMINISTRAÇÃO CIÊNCIAS ECON E CONTÁBEIS DE GUARATINGUETÁ
493;FACULDADE DE EDUCAÇÃO DE GUARATINGUETÁ
494;UNIVERSIDADE DO SUL DE SANTA CATARINA
495;FACULDADE DE CIÊNCIAS E LETRAS DE BRAGANÇA PAULISTA
496;UNIVERSIDADE DE FRANCA
498;ESCOLA SUPERIOR DE EDUCACAO FISICA E DESPORTOS DE CATANDUVA
499;FACULDADE DE DIREITO E ADMINISTRACAO CATANDUVA
500;FACULDADE DE MEDICINA DE CATANDUVA
501;ESCOLA SUPERIOR DE CIÊNCIAS DA SANTA CASA DE MISERICÓRDIA DE VITÓRIA
502;CENTRO UNIVERSITÁRIO MONTE SERRAT
503;FACULDADE DE DIREITO DE CAMPOS
504;FACULDADE DE ODONTOLOGIA DE CAMPOS
505;FACULDADE DE FILOSOFIA DE CAMPOS
506;FACULDADE DE MEDICINA DE CAMPOS
507;FACULDADE TRIÂNGULO MINEIRO
508;FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO SUL DE MINAS - FACESM
509;FACULDADES INTEGRADAS DE CRUZEIRO
510;ESCOLA DE ENFERMAGEM WENCESLAU BRAZ
511;FACULDADE DE FILOSOFIA, CIENCIAS E LETRAS DE GUAXUPE
512;FACULDADE DE CIENCIAS ADMINISTRATIVAS ECONOMICAS E CONTABEIS DE GUAXUPE
513;UNIVERSIDADE VALE DO RIO DOCE
514;CENTRO UNIVERSITÁRIO DE BARRA MANSA
